32   0 0 5
33 ! 0 0.001953125 4
34 " 0.0078125 0.011230469 7
35 # 0.015625 0.020996094 11
36 $ 0.0234375 0.026855469 7
37 % 0.03125 0.036621094 11
38 & 0.0390625 0.043945313 10
39 ' 0.046875 0.048339844 3
40 ( 0.0546875 0.057617188 6
41 ) 0.0625 0.065429688 6
42 * 0.0703125 0.073730469 7
43 + 0.078125 0.082519531 9
44 , 0.0859375 0.087890625 4
45 - 0.09375 0.096679688 6
46 . 0.1015625 0.103515625 4
47 / 0.109375 0.113769531 9
48 0 0.1171875 0.12109375 8
49 1 0.125 0.127929688 6
50 2 0.1328125 0.13671875 8
51 3 0.140625 0.14453125 8
52 4 0.1484375 0.15234375 8
53 5 0.15625 0.16015625 8
54 6 0.1640625 0.16796875 8
55 7 0.171875 0.17578125 8
56 8 0.1796875 0.18359375 8
57 9 0.1875 0.19140625 8
58 : 0.1953125 0.197265625 4
59 ; 0.203125 0.205078125 4
60 < 0.2109375 0.215820313 10
61 = 0.21875 0.223144531 9
62 > 0.2265625 0.231445313 10
63 ? 0.234375 0.23828125 8
64 @ 0.2421875 0.249023438 14
65 A 0.25 0.254394531 9
66 B 0.2578125 0.262207031 9
67 C 0.265625 0.270019531 9
68 D 0.2734375 0.277832031 9
69 E 0.28125 0.285644531 9
70 F 0.2890625 0.29296875 8
71 G 0.296875 0.301757813 10
72 H 0.3046875 0.309082031 9
73 I 0.3125 0.314453125 4
74 J 0.3203125 0.323242188 6
75 K 0.328125 0.332519531 9
76 L 0.3359375 0.339355469 7
77 M 0.34375 0.349121094 11
78 N 0.3515625 0.355957031 9
79 O 0.359375 0.364257813 10
80 P 0.3671875 0.371582031 9
81 Q 0.375 0.379882813 10
82 R 0.3828125 0.387207031 9
83 S 0.390625 0.395019531 9
84 T 0.3984375 0.40234375 8
85 U 0.40625 0.410644531 9
86 V 0.4140625 0.41796875 8
87 W 0.421875 0.427246094 11
88 X 0.4296875 0.434082031 9
89 Y 0.4375 0.441894531 9
90 Z 0.4453125 0.44921875 8
91 [ 0.453125 0.456542969 7
92 \ 0.4609375 0.465332031 9
93 ] 0.46875 0.472167969 7
94 ^ 0.4765625 0.48046875 8
95 _ 0.484375 0.48828125 8
96 ` 0.4921875 0.494628906 5
97 a 0.5 0.503417969 7
98 b 0.5078125 0.511230469 7
99 c 0.515625 0.518554688 6
100 d 0.5234375 0.526855469 7
101 e 0.53125 0.534667969 7
102 f 0.5390625 0.541015625 4
103 g 0.546875 0.550292969 7
104 h 0.5546875 0.558105469 7
105 i 0.5625 0.563964844 3
106 j 0.5703125 0.571777344 3
107 k 0.578125 0.581054688 6
108 l 0.5859375 0.587402344 3
109 m 0.59375 0.599121094 11
110 n 0.6015625 0.604980469 7
111 o 0.609375 0.612792969 7
112 p 0.6171875 0.620605469 7
113 q 0.625 0.628417969 7
114 r 0.6328125 0.634765625 4
115 s 0.640625 0.643554688 6
116 t 0.6484375 0.650390625 4
117 u 0.65625 0.659667969 7
118 v 0.6640625 0.666503906 5
119 w 0.671875 0.676269531 9
120 x 0.6796875 0.682617188 6
121 y 0.6875 0.690429688 6
122 z 0.6953125 0.698242188 6
123 { 0.703125 0.70703125 8
124 | 0.7109375 0.713378906 5
125 } 0.71875 0.72265625 8
126 ~ 0.7265625 0.731445313 10
127  0.734375 0.737792969 7
128 Ä 0.7421875 0.74609375 8
129 Å 0.75 0.753417969 7
130 Ç 0.7578125 0.759765625 4
131 É 0.765625 0.769042969 7
132 Ñ 0.7734375 0.775878906 5
133 Ö 0.78125 0.787109375 12
134 Ü 0.7890625 0.792480469 7
135 á 0.796875 0.800292969 7
136 à 0.8046875 0.807128906 5
137 â 0.8125 0.818847656 13
138 ä 0.8203125 0.824707031 9
139 ã 0.828125 0.830566406 5
140 å 0.8359375 0.842285156 13
141 ç 0.84375 0.847167969 7
142 é 0.8515625 0.85546875 8
143 è 0.859375 0.862792969 7
144 ê 0.8671875 0.870605469 7
145 ë 0.875 0.876953125 4
146 í 0.8828125 0.884765625 4
147 ì 0.890625 0.892578125 4
148 î 0.8984375 0.900390625 4
149 ï 0.90625 0.909179688 6
150 ñ 0.9140625 0.91796875 8
151 ó 0.921875 0.927734375 12
152 ò 0.9296875 0.932128906 5
153 ô 0.9375 0.941894531 9
154 ö 0.9453125 0.948242188 6
155 õ 0.953125 0.955566406 5
156 ú 0.9609375 0.966796875 12
157 ù 0.96875 0.972167969 7
158 û 0.9765625 0.979492188 6
159 ü 0.984375 0.988769531 9
160 † 0.9921875 0.994628906 5
